sites.sitename,lat,lon,mean,stand.age,dominant.veg,scientific.name,variable.name,city,state,country,soil.classification,continent,biogeog,FAO.ecozone
Aguas Claras,9.333333,-79.833333,86.8,20,2TDB,Tectona grandis,biomass_ag_C,NAC,Colon,Panama,NAC,North America,Neotropics,Tropical rainforest
Aheden,64.21,19.5,74.3,180,2TDB,,biomass_ag_C,NAC,Vasterbotten,Sweden,NAC,Europe,Palearctic,Boreal coniferous forest
Alaska,64.75,-148.25,61.0,NI,2TEN,,biomass_ag_C,NAC,Alaska,United States of America,NAC,North America,Nearctic,Boreal tundra woodland
Alaskan coast,58.37,-134.72,325.0,NI,2TEN,,biomass_ag_C,NAC,Alaska,United States of America,NAC,North America,Nearctic,Temperate mountain system
Alatskivi 2,58.617,27.03,69.8,32,2TDB,,biomass_ag_C,NAC,Tartu,Estonia,Gleyic Umbrisol,Europe,Palearctic,Temperate continental forest
Alberta,54.25,-117.0,50.0,NI,2TM,,biomass_ag_C,NAC,Alberta,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Allpahuayo A ALP11/ALP12,-3.95,-73.4333,130.4,999,2TEB,,biomass_ag_C,NAC,Loreto,Peru,Alisol/Gleysol,South America,Neotropics,Tropical rainforest
Allpahuayo C (ALP-30),-3.9543,-73.4267,88.5,999,2TEB,,biomass_ag_C,NAC,Loreto,Peru,Arenosol,South America,Neotropics,Tropical rainforest
Andrews 1,44.2576,-122.2012,21.03,19,2TEN,,biomass_ag_C,Blue River,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Andrews 10,44.2479,-122.2008,435.29,552,2TEN,,biomass_ag_C,Blue River,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Andrews 11,44.2334,-122.1731,367.76,795,2TEN,,biomass_ag_C,Blue River,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Andrews 12,44.2587,-122.1818,468.55,629,2TEN,,biomass_ag_C,Blue River,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Andrews 2,44.2515,-122.2018,18.67,20,2TEN,,biomass_ag_C,Blue River,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Andrews 3,44.2588,-122.2041,15.71,12,2TEN,,biomass_ag_C,Blue River,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Andrews 4,44.2477,-122.1974,94.14,38,2TEN,,biomass_ag_C,Blue River,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Andrews 5,44.2347,-122.1766,65.81,38,2TEN,,biomass_ag_C,Blue River,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Andrews 6,44.2548,-122.1827,141.87,70,2TEN,,biomass_ag_C,Blue River,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Andrews 7,44.2705,-122.2173,167.72,142,2TEN,,biomass_ag_C,Blue River,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Andrews 8,44.2699,-122.2265,386.91,146,2TEN,,biomass_ag_C,Blue River,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Andrews 9,44.2626,-122.1944,319.49,166,2TEN,,biomass_ag_C,Blue River,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Andrews watershed 10,44.25,-122.33,362.39,450,2TEN,,biomass_ag_C,Blue River,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
"Appomattox Buckingham S.F., Chestnut Ridge Natural Area",37.407916,-78.622173,172.2,176,2TDB,,biomass_ag_C,NAC,Virginia,United States of America,NAC,North America,Nearctic,Subtropical humid forest
Araracuara,-0.63,-72.37,175.0,999,2TEB,,biomass_ag_C,NAC,Amazonas,Colombia,NAC,South America,Neotropics,Tropical rainforest
Arengou,31.2,98.8,55.4,214,2TEN,,biomass_ag_C,Baiyu,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
Ashu Kyoto,35.33,135.75,137.43,150,2TDB,,biomass_ag_C,NAC,Kyoto,Japan,NAC,Asia,Palearctic,Temperate mountain system
Aubure (Natural regeneration),48.2,7.18,123.3,161,2TDB,,biomass_ag_C,NAC,Haut-Rhin,France,NAC,Europe,Palearctic,Temperate mountain system
Aubure (Planted),48.2,7.18,125.6,NRA,2TEN,Picea abies,biomass_ag_C,NAC,Haut-Rhin,France,NAC,Europe,Palearctic,Temperate mountain system
"Baihe, Nanping",33.25,103.77,96.7,122,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
Baisha,21.7,109.6,200.2,97,NAC,,biomass_ag_C,NAC,Guangxi,China,NAC,Asia,IndoMalay,Subtropical humid forest
Baiyin'aobao,43.51,117.22,34.9,170,2TEN,,biomass_ag_C,NAC,Inner Mongol,China,NAC,Asia,Palearctic,Temperate steppe
Baiyu,31.2,98.8,77.4,184,2TEN,,biomass_ag_C,NAC,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
Balikun,43.8,93.0,54.2,132,2TDN,,biomass_ag_C,NAC,Xinjiang,China,NAC,Asia,Palearctic,Temperate mountain system
Balmoral,-42.87,172.75,37.0,8,2TEN,Pinus radiata,biomass_ag_C,NAC,Canterbury,New Zealand,NAC,Oceania,Australasia,Temperate oceanic forest
Baozuo 1,33.47,103.46,107.3,146,2TEN,,biomass_ag_C,Ruo'ergai,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
Baozuo 10,33.48,103.54,82.6,137,2TEN,,biomass_ag_C,Ruo'ergai,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
Baozuo 11,33.53,103.66,106.3,148,2TEN,,biomass_ag_C,Ruo'ergai,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
Baozuo 12,33.57,103.32,106.9,167,2TEN,,biomass_ag_C,Ruo'ergai,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
Baozuo 13,33.45,103.5,74.1,137,2TEN,,biomass_ag_C,Ruo'ergai,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
