sites.sitename,lat,lon,mean
ASB Brazil 1,-10.06,-62.11,24.570000000000004
ASB Brazil 2,-10.13,-62.23,33.9525
ASB Brazil 3,-10.01,-67.09,12.337499999999999
ASB Cameroon 1,2.59,11.03,66.65666666666667
ASB Cameroon 2,2.42,11.25,83.99
ASB Cameroon 3,4.24,11.26,88.525
ASB Cameroon 4,3.93,11.57,64.13333333333334
ASB Cameroon 5,3.61,11.61,72.89
ASB Cameroon 6,3.3,11.79,56.300000000000004
Acjanaco,-13.14,-71.63,64.9
Aguas Claras,9.333333,-79.833333,86.8
Aheden,64.21,19.5,74.3
Alaska,64.75,-148.25,61.0
Alaskan coast,58.37,-134.72,325.0
Alatskivi 2,58.617,27.03,69.8
Alberta,54.25,-117.0,50.0
Aleza Lake Research Forest,54.02,-122.12,4.114285714285715
Alligator River National Wildlife Refuge,35.78,-75.9,375.0
Allpahuayo A ALP11/ALP12,-3.95,-73.4333,130.4
Allpahuayo C (ALP-30),-3.9543,-73.4267,88.5
Almagro_2010_bcap research site in Murcia Spain,38.1,-1.8,14.916666666666666
Amida-cedar,34.42,132.5,107.0
Anderstorp,57.25,13.58333,41.0
Andrews 1,44.2576,-122.2012,21.03
Andrews 10,44.2479,-122.2008,435.29
Andrews 11,44.2334,-122.1731,367.76
Andrews 12,44.2587,-122.1818,468.55
Andrews 2,44.2515,-122.2018,18.67
Andrews 3,44.2588,-122.2041,15.71
Andrews 4,44.2477,-122.1974,94.14
Andrews 5,44.2347,-122.1766,65.81
Andrews 6,44.2548,-122.1827,141.87
Andrews 7,44.2705,-122.2173,167.72
Andrews 8,44.2699,-122.2265,386.91
Andrews 9,44.2626,-122.1944,319.49
Andrews watershed 10,44.25,-122.33,362.39
"Appomattox Buckingham S.F., Chestnut Ridge Natural Area",37.407916,-78.622173,172.2
Aracruz,-19.81667,-40.08333,41.45
Araracuara,-0.63,-72.37,175.0
Arengou,31.2,98.8,55.4
Arevalo_2011_luce research site in Alberta Canada,54.2,-114.1333,29.849999999999998
Ashu Kyoto,35.33,135.75,137.43
Aubure (Natural regeneration),48.2,7.18,123.3
Aubure (Planted),48.2,7.18,125.6
BOREAS NSA-CBS,55.91,-98.42,14.37
BOREAS NSA-CJP,55.91,-98.42,20.09
BOREAS NSA-D1850; NOBS,55.88,-98.48,71.0
BOREAS NSA-D1930,55.91,-98.52,55.0
BOREAS NSA-D1964,55.92,-98.39,15.0
BOREAS NSA-D1981,55.86,-98.48,7.0
BOREAS NSA-D1989,55.91,-98.98,4.0
BOREAS NSA-D1995,56.46,-99.97,0.9
BOREAS NSA-D1998,56.63,-99.94,0.8
BOREAS NSA-W1850; NOBS,55.88,-98.48,31.0
BOREAS NSA-W1930,55.91,-98.51,34.0
BOREAS NSA-W1964,55.92,-98.39,18.0
BOREAS NSA-W1981,55.86,-98.48,3.6
BOREAS NSA-W1989,55.9,-98.98,3.5
BOREAS NSA-W1995,56.46,-99.98,1.0
BOREAS NSA-W1998,56.63,-99.94,0.2
BOREAS SSA-OBS,53.99,-105.12,57.416666666666664
BOREAS-SSA,53.85,-104.63,11.08
"Baihe, Nanping",33.25,103.77,96.7
Baisha,21.7,109.6,200.2
Baiyin'aobao,43.51,117.22,34.9
Baiyu,31.2,98.8,77.4
Balikun,43.8,93.0,54.2
Balmoral,-42.87,172.75,37.0
Baozuo 1,33.47,103.46,107.3
Baozuo 10,33.48,103.54,82.6
Baozuo 11,33.53,103.66,106.3
Baozuo 12,33.57,103.32,106.9
Baozuo 13,33.45,103.5,74.1
Baozuo 2,33.35,103.41,144.6
Baozuo 3,33.32,103.61,88.6
Baozuo 4,33.37,103.36,100.7
Baozuo 5,33.43,103.49,93.3
Baozuo 6,33.4,103.37,94.0
Baozuo 7,33.38,103.5,85.3
Baozuo 8,33.33,103.47,102.9
Baozuo 9,33.62,103.39,103.8
"Baozuo Cupressus, Sabina",33.45,103.39,102.0
Barangay Gaas,10.42479,123.753,84.8575
Barro Colorado Island CTFS-ForestGEO plot,9.1543,-79.8461,135.60138571428573
Bartlett,44.06,-71.29,107.3
Battle Ax 1,44.7782,-122.1476,4.91
Battle Ax 6,44.8386,-122.2342,235.19
Baxi 1,33.38,103.32,74.4
Baxi 2,33.53,103.34,84.1
Baxi 3,33.55,103.3,96.5
Bayreuth/Weiden Brunnen,50.15,11.87,92.67
Beijing Forest Ecosystem Research Station,39.97,115.43,1.5
Bellif national forest,37.04492,9.102233,120.5
Belt Woods,38.906743,-76.7604,203.9
Bianba,30.9,94.7,62.3
Big Butte Springs 1,42.5853,-122.4062,17.46
Big Butte Springs 2,42.586,-122.4478,64.86
Big Butte Springs 3,42.5601,-122.4966,95.75
Big Butte Springs 4,42.6231,-122.4367,172.76
Big Butte Springs 6,42.6025,-122.4755,184.94
Biliuti 1,47.7,86.9,141.0
Biliuti 2,48.0,86.9,101.4
Bilos,44.493889,-0.955944,36.13333333333333
Biology of Forest Growth experimental Plantation-C in Pierces Creek Forest,-35.35,148.933,72.46333333333334
Black Pond,42.51667,-71.53333,17.4
Blue Mountain 1,43.6776,-122.916,2.45
Blue Mountain 2,43.7362,-122.9288,107.61
Blue Mountain 3,43.6915,-122.9297,86.54
Blue Mountain 4,43.6943,-122.8992,166.49
Blue Mountain 5,43.7037,-122.9292,460.41
Blue Mountain 6,43.7062,-122.9356,652.73
"Bomi Cupressus, Sabina",30.1,95.0,114.9
"Bomi Picea, Abies 1",29.92,95.88,717.6
"Bomi Picea, Abies 2",29.8,95.7,206.0
Bomi Quercus 1,29.7,96.1,92.2
Bomi Quercus 2,29.8,95.7,84.4
Bonanza 5A,64.8,-147.87,17.62
Bonanza 5C,64.8,-147.87,16.42
Bonanza 5D,64.8,-147.87,16.85
Bonanza Creek/Standard Creek,64.783333,-148.375,5.625
Bonanza FP2,64.75,-148.25,60.875
Bonanza FP3,64.75,-148.25,63.665
Bonanza FP4,64.75,-148.25,70.49000000000001
Bonanza FP5,64.75,-148.25,14.95
Bonanza UP2,64.75,-148.25,78.36500000000001
Bonanza UP3,64.75,-148.25,70.275
Boqueron,9.333333,-79.833333,91.8
Bornhoved Alder,54.1,10.23,82.0
Bornhoved Beech,54.1,10.23,151.0
Bornhoved Lake District,54.0,10.23,97.25
Bragantina,-1.2,-47.25833,39.46666666666667
Bredaryd,57.18333,13.73333,48.25
Breitenbush Hot Springs 1,44.7824,-121.8975,5.21
Breitenbush Hot Springs 2,44.8006,-121.9901,28.99
Breitenbush Hot Springs 3,44.763,-121.8859,78.42
